Run #, Arrival Rate, Average Response Time (ms), Average CPU Utilization (%), Average Network Utilization (%)
0,10.0,2.5750000000000006,13.7575,0.2590250472669927
1,15.001500150015001,2.5500000000000003,16.814999999999998,0.29331373992896126
2,20.0,2.85,21.6325,0.41071744303509733
3,25.0,3.5750000000000006,25.4,0.5053854327846237
4,30.003000300030003,4.075,31.805,0.6018306332842416
5,35.00175008750438,5.375,41.302499999999995,0.7744830684812919
6,40.0,6.400000000000001,47.47,0.8069292328450609
7,45.00450045004501,8.7,49.57749999999999,0.8990268431935683
8,50.0,12.475,51.94500000000001,1.0227677243153557
9,55.005500550055004,21.849999999999998,55.0025,1.1002814810727293
10,60.024009603841534,22.325,57.587500000000006,1.1570823529411765
11,65.01950585175553,23.800000000000004,59.5,1.173761934730258
12,70.0280112044818,30.950000000000003,62.9225,1.214037208697912
13,75.01875468867217,37.37500000000001,65.58500000000001,1.2890055011695398
14,80.0,46.62500000000001,66.11,1.354079528718704
15,85.03401360544218,47.85000000000001,66.6975,1.4876354895088362
16,90.00900090009002,54.12500000000001,69.925,1.5620766173474718
17,95.05703422053232,59.875,70.97749999999999,1.5431337174044875
18,100.0,67.1,71.185,1.8397959536278485
