Run #, Arrival Rate, Average Response Time, Average CPU Utilization, Average Network Utilization
0,14.285714285714285,0.525,0.89,1.2718076973057264
1,15.001500150015001,0.5,0.89,1.320751483583124
2,15.715857300015715,0.475,0.89,1.3867482882041706
3,16.43115346697338,0.525,0.89,1.4561654790782295
4,17.143836790673753,0.55,0.89,1.508646907216495
5,17.857142857142858,0.5,0.89,1.5822794117647057
6,18.573551263001487,0.475,0.89,1.6368426752144158
7,19.286403085824492,0.525,0.89,1.7612810395738538
8,20.0,0.5,0.89,1.8019247529231421
9,20.716801325875284,0.525,0.89,1.8326670098233375
10,21.43163309044149,0.65,0.89,1.94827091578485
11,22.143489813994687,0.5,0.89,1.9740864059678798
12,22.857142857142858,0.5,0.89,2.0396290427098673
13,23.573785950023574,0.575,0.89,2.0547426470588235
14,24.28953121204761,0.625,0.89,2.1102291432036733
15,25.0,0.6000000000000001,0.89,2.1700735294117646
