Run #, Period, Number of Sessions, Response Time, CPU Utilization, Network Bandwidth, Network I/O,,Average Response Time,Average Util,Average Network,Average Network I/O
0_0,0.07,500,0.6,0.89,679,863.6,,0.525,0.89,679.25,863.875
0_1,0.07,500,0.5,0.89,679,864.1,,0.5,0.89,679.5,872.3
0_2,0.07,500,0.5,0.89,680,863.8,,0.475,0.89,679.75,880.575
0_3,0.07,500,0.5,0.89,679,864,,0.5,0.89,679.5,889.1
1_0,0.06666,525,0.5,0.89,680,897.3,,0.5,0.89,679.5,897.45
1_1,0.06666,525,0.4,0.89,680,897.2,,0.5,0.89,678.25,908.35
1_2,0.06666,525,0.6,0.89,679,897.9,,0.525,0.89,678.25,919.275
1_3,0.06666,525,0.5,0.89,679,897.4,,0.5,0.89,678.5,930.025
2_0,0.06363,550,0.5,0.89,675,940.9,,0.475,0.89,678.5,940.9
2_1,0.06363,550,0.5,0.89,680,940.9,,0.5,0.89,679.5,952.925
2_2,0.06363,550,0.5,0.89,680,940.9,,0.5,0.89,679.25,965
2_3,0.06363,550,0.4,0.89,679,940.9,,0.5,0.89,679,977.05
3_0,0.06086,575,0.6,0.89,679,989,,0.525,0.89,679.25,989.1
3_1,0.06086,575,0.5,0.89,679,989.2,,0.525,0.89,679.5,998.125
3_2,0.06086,575,0.5,0.89,679,989.1,,0.525,0.89,679.5,1007.125
3_3,0.06086,575,0.5,0.89,680,989.1,,0.55,0.89,679.5,1016.125
4_0,0.05833,600,0.6,0.89,680,1025.1,,0.55,0.89,679.5,1025.125
4_1,0.05833,600,0.5,0.89,679,1025.2,,0.525,0.89,679.5,1037.8
4_2,0.05833,600,0.6,0.89,679,1025.1,,0.525,0.89,679.75,1050.5
4_3,0.05833,600,0.5,0.89,680,1025.1,,0.5,0.89,680,1063.225
5_0,0.056,625,0.5,0.89,680,1075.8,,0.5,0.89,680,1075.95
5_1,0.056,625,0.5,0.89,680,1076,,0.5,0.89,679.75,1084.875
5_2,0.056,625,0.5,0.89,680,1076,,0.5,0.89,679.75,1093.875
5_3,0.056,625,0.5,0.89,680,1076,,0.475,0.89,679.5,1102.85
6_0,0.05384,650,0.5,0.89,679,1111.5,,0.475,0.89,679.25,1111.825
6_1,0.05384,650,0.5,0.89,680,1112,,0.475,0.89,679.25,1123.825
6_2,0.05384,650,0.4,0.89,679,1111.9,,0.475,0.89,660,1135.7
6_3,0.05384,650,0.5,0.89,679,1111.9,,0.525,0.89,660,1147.55
7_0,0.05185,675,0.5,0.89,679,1159.5,,0.525,0.89,660,1159.375
7_1,0.05185,675,0.5,0.89,603,1159.5,,0.525,0.89,660,1168.775
7_2,0.05185,675,0.6,0.89,679,1159.3,,0.525,0.89,679.25,1178.175
7_3,0.05185,675,0.5,0.89,679,1159.2,,0.5,0.89,665.5,1187.65
8_0,0.05,700,0.5,0.89,679,1197.1,,0.5,0.89,665.25,1197.125
8_1,0.05,700,0.5,0.89,680,1197.1,,0.525,0.89,663.75,1208.5
8_2,0.05,700,0.5,0.89,624,1197.2,,0.525,0.89,663.75,1219.875
8_3,0.05,700,0.5,0.89,678,1197.1,,0.525,0.89,677.75,1231.2
9_0,0.04827,725,0.6,0.89,673,1242.6,,0.525,0.89,678,1242.525
9_1,0.04827,725,0.5,0.89,680,1242.6,,0.5,0.89,679.75,1251.775
9_2,0.04827,725,0.5,0.89,680,1242.5,,0.5,0.89,679.5,1261.075
9_3,0.04827,725,0.5,0.89,679,1242.4,,0.65,0.89,658.75,1270.55
10_0,0.04666,750,0.5,0.89,680,1279.6,,0.65,0.89,659,1279.85
10_1,0.04666,750,0.5,0.89,679,1279.8,,0.65,0.89,659,1287.475
10_2,0.04666,750,1.1,0.89,597,1280.4,,0.65,0.89,659.25,1295.05
10_3,0.04666,750,0.5,0.89,680,1279.6,,0.5,0.89,680,1302.45
11_0,0.04516,775,0.5,0.89,680,1310.1,,0.5,0.89,664.75,1310.1
11_1,0.04516,775,0.5,0.89,680,1310.1,,0.5,0.89,664.5,1321.45
11_2,0.04516,775,0.5,0.89,680,1310,,0.5,0.89,664.25,1332.85
11_3,0.04516,775,0.5,0.89,619,1310.2,,0.5,0.89,664,1344.25
12_0,0.04375,800,0.5,0.89,679,1355.5,,0.5,0.89,665.5,1355.625
12_1,0.04375,800,0.5,0.89,679,1355.7,,0.5,0.89,665.75,1366.05
12_2,0.04375,800,0.5,0.89,679,1355.6,,0.5,0.89,666,1376.45
12_3,0.04375,800,0.5,0.89,625,1355.7,,0.575,0.89,666.25,1386.875
13_0,0.04242,825,0.5,0.89,680,1397.2,,0.575,0.89,680,1397.225
13_1,0.04242,825,0.5,0.89,680,1397.3,,0.575,0.89,680,1406.475
13_2,0.04242,825,0.8,0.89,680,1397.3,,0.625,0.89,679.75,1415.575
13_3,0.04242,825,0.5,0.89,680,1397.1,,0.575,0.89,679.5,1424.725
14_0,0.04117,850,0.5,0.89,680,1434.2,,0.625,0.89,679.5,1433.9
14_1,0.04117,850,0.7,0.89,679,1433.7,,0.65,0.89,679.5,1444.25
14_2,0.04117,850,0.6,0.89,679,1433.9,,0.6,0.89,679.75,1454.75
14_3,0.04117,850,0.7,0.89,680,1433.8,,0.575,0.89,680,1465.175
15_0,0.04,875,0.6,0.89,680,1475.6,,0.6,0.89,680,1475.65
15_1,0.04,875,0.5,0.89,680,1475.7,,0.6,0.89,680,1475.666667
15_2,0.04,875,0.5,0.89,680,1475.6,,0.65,0.89,680,1475.65
15_3,0.04,875,0.8,0.89,680,1475.7,,0.8,0.89,680,1475.7
