Run #, Period, Number of Sessions, Connection Time, Reply Time, CPU Utilization, Network Bandwidth, Network I/O
0_0,.10000,100,0.4,2.3,12.58,68375.0,184.6 
0_1,.10000,100,0.4,2.1,11.54,67500.0,184.6 
0_2,.10000,100,0.4,2.1,16.66,67250.0,184.6 
0_3,.10000,100,0.4,2.2,14.25,84625.0,184.6 
1_0,.06666,150,0.4,2.1,14.36,85000.0,249.3 
1_1,.06666,150,0.4,2.2,15.00,85000.0,249.3 
1_2,.06666,150,0.4,2.1,19.00,84875.0,249.0 
1_3,.06666,150,0.4,2.2,18.90,85000.0,249.3 
2_0,.05000,200,0.5,2.3,24.27,84875.0,328.6 
2_1,.05000,200,0.5,2.6,19.27,84875.0,328.5 
2_2,.05000,200,0.3,2.3,18.90,85000.0,328.5 
2_3,.05000,200,0.4,2.5,24.09,68125.0,328.5 
3_0,.04000,250,0.4,3.3,22.50,84875.0,405.8 
3_1,.04000,250,0.4,3.3,25.30,84875.0,405.8 
3_2,.04000,250,0.3,3.2,26.90,69125.0,405.9 
3_3,.04000,250,0.3,3.1,26.90,84875.0,405.8 
4_0,.03333,300,0.4,3.8,34.36,69000.0,483.0 
4_1,.03333,300,0.4,3.6,30.00,85000.0,482.8 
4_2,.03333,300,0.4,3.5,30.50,84875.0,482.8 
4_3,.03333,300,0.4,3.8,32.36,84875.0,484.2 
5_0,.02857,350,0.4,4.9,41.69,84875.0,617.8 
5_1,.02857,350,0.4,5.1,42.15,85000.0,617.6 
5_2,.02857,350,0.3,5.1,41.07,67250.0,616.9 
5_3,.02857,350,0.4,4.9,40.30,84875.0,616.3 
6_0,.02500,400,0.3,5.9,48.23,83500.0,681.8 
6_1,.02500,400,0.4,6.1,45.83,85000.0,681.7 
6_2,.02500,400,0.3,5.9,47.75,84875.0,683.2 
6_3,.02500,400,0.3,6.4,48.07,84875.0,682.6 
7_0,.02222,450,0.4,9.0,49.91,82625.0,757.0 
7_1,.02222,450,0.4,7.6,50.41,85000.0,760.3 
7_2,.02222,450,0.3,8.5,49.83,84875.0,757.1 
7_3,.02222,450,0.3,8.3,48.16,84875.0,758.3 
8_0,.02000,500,0.3,13.6,50.25,85000.0,824.3 
8_1,.02000,500,0.3,10.9,50.18,84875.0,821.4 
8_2,.02000,500,0.3,12.9,53.90,85000.0,819.6 
8_3,.02000,500,0.4,11.2,53.45,69125.0,822.1 
9_0,.01818,550,0.3,22.6,56.00,66625.0,877.3 
9_1,.01818,550,0.4,22.4,53.75,85000.0,872.5 
9_2,.01818,550,0.4,21.6,56.63,85000.0,871.3 
9_3,.01818,550,0.3,19.4,53.63,85000.0,877.9 
10_0,.01666,600,2.0,20.8,57.36,68750.0,921.8 
10_1,.01666,600,0.3,19.7,56.27,85000.0,925.8 
10_2,.01666,600,0.4,22.3,57.36,85000.0,930.7 
10_3,.01666,600,0.3,23.5,59.36,85000.0,937.9 
11_0,.01538,650,0.4,20.7,59.63,84875.0,979.0 
11_1,.01538,650,0.4,22.4,58.90,85000.0,975.8 
11_2,.01538,650,0.4,25.0,58.27,82375.0,980.4 
11_3,.01538,650,0.4,25.5,61.20,81875.0,985.3 
12_0,.01428,700,0.4,30.5,63.10,85000.0,1033.3 
12_1,.01428,700,0.4,28.6,63.60,85000.0,1027.4 
12_2,.01428,700,0.4,33.4,62.36,85000.0,1029.0 
12_3,.01428,700,0.4,29.7,62.63,84875.0,1036.5 
13_0,.01333,750,0.4,33.8,65.81,85000.0,1076.4 
13_1,.01333,750,0.4,39.1,65.90,84875.0,1099.1 
13_2,.01333,750,0.4,34.7,65.63,85000.0,1096.3 
13_3,.01333,750,0.4,40.3,65.00,85000.0,1109.2 
14_0,.01250,800,0.4,41.0,64.72,84875.0,1147.8 
14_1,.01250,800,1.7,50.2,66.27,84875.0,1148.0 
14_2,.01250,800,0.4,49.7,65.18,84875.0,1149.8 
14_3,.01250,800,0.4,42.7,68.27,84875.0,1151.5 
15_0,.01176,850,0.4,49.6,69.09,85000.0,1191.7 
15_1,.01176,850,0.3,48.7,65.90,85000.0,1192.6 
15_2,.01176,850,0.4,43.9,67.50,68500.0,1189.5 
15_3,.01176,850,0.3,47.8,64.30,85125.0,1199.4 
16_0,.01111,900,0.3,58.7,71.27,84875.0,1265.4 
16_1,.01111,900,0.3,50.3,68.36,85000.0,1244.1 
16_2,.01111,900,0.3,55.5,68.27,69000.0,1250.8 
16_3,.01111,900,0.4,50.7,71.80,84375.0,1249.6 
17_0,.01052,950,0.3,63.0,73.63,85000.0,1311.2 
17_1,.01052,950,0.4,65.1,70.63,84875.0,1304.6 
17_2,.01052,950,0.4,52.2,68.45,84875.0,1312.7 
17_3,.01052,950,0.3,57.8,71.20,85000.0,1314.3 
18_0,.01000,1000,0.3,77.5,70.45,68625.0,1323.6 
18_1,.01000,1000,0.3,50.4,71.72,68625.0,1345.0 
18_2,.01000,1000,0.4,68.6,71.27,85000.0,1313.0 
18_3,.01000,1000,0.4,70.5,71.30,68875.0,1326.4 
